,0
732,1463
733,1464
734,1465
735,1466
736,1467
737,1468
738,1469
739,1470
740,1471
741,1473
742,1474
743,1475
744,1476
745,1478
746,1480
747,1484
748,1485
749,1486
750,1489
751,1491
752,1494
753,1495
754,1496
755,1497
756,1499
757,1500
758,1501
759,1502
760,1505
761,1507
762,1511
763,1512
764,1514
765,1515
766,1516
767,1520
768,1523
769,1526
770,1529
771,1533
772,1534
773,1536
774,1539
775,1543
776,1544
777,1545
778,1548
779,1549
780,1557
781,1558
782,1560
783,1561
784,1565
785,1570
786,1572
787,1581
788,1584
789,1585
790,1587
791,1588
792,1589
793,1590
794,1592
795,1595
796,1596
797,1597
798,1598
799,1603
800,1604
801,1607
802,1610
803,1611
804,1612
805,1616
806,1618
807,1621
808,1622
809,1625
810,1627
811,1628
812,1633
813,1635
814,1637
815,1638
816,1639
817,1640
818,1641
819,1642
820,1643
821,1644
822,1645
823,1646
824,1647
825,1648
826,1649
827,1651
828,1652
829,1653
830,1656
831,1657
832,1658
833,1659
834,1660
835,1662
836,1663
837,1664
838,1672
839,1673
840,1675
841,1676
842,1678
843,1679
844,1681
845,1683
846,1684
847,1687
848,1688
849,1689
850,1690
851,1691
852,1692
853,1695
854,1696
855,1697
856,1698
857,1700
858,1701
859,1704
860,1705
861,1706
862,1708
863,1711
864,1716
865,1717
866,1723
867,1729
868,1730
869,1734
870,1735
871,1736
872,1737
873,1738
874,1739
875,1740
876,1742
877,1743
878,1744
879,1745
880,1746
881,1747
882,1748
883,1749
884,1750
885,1751
886,1753
887,1755
888,1756
889,1757
890,1759
891,1760
892,1765
893,1767
894,1768
895,1769
896,1771
897,1772
898,1774
899,1775
900,1779
901,1783
902,1784
903,1785
904,1786
905,1789
906,1790
907,1791
908,1794
909,1797
910,1800
911,1803
912,1804
913,1805
914,1806
915,1808
916,1809
917,1814
918,1815
919,1816
920,1817
921,1819
922,1820
923,1821
924,1822
925,1823
926,1825
927,1828
928,1831
929,1833
930,1841
931,1843
932,1844
933,1847
934,1849
935,1851
936,1864
937,1865
938,1866
939,1869
940,1871
941,1873
942,1874
943,1875
944,1876
945,1878
946,1879
947,1881
948,1882
949,1884
950,1886
951,1888
952,1889
953,1890
954,1891
955,1892
956,1894
957,1896
958,1901
959,1903
960,1907
961,1908
962,1912
963,1913
964,1914
965,1915
966,1919
967,1920
968,1922
969,1923
970,1926
971,1927
972,1928
973,1935
974,1936
975,1941
976,1942
977,1943
978,1944
979,1946
980,1953
981,1954
982,1958
983,1959
984,1961
985,1962
986,1972
987,1974
988,1975
989,1976
990,1977
991,1982
992,1984
993,1985
994,1989
995,1991
996,1998
997,2003
998,2005
999,2007
1000,2008
1001,2009
1002,2010
1003,2013
1004,2014
1005,2015
1006,2017
1007,2026
1008,2028
1009,2029
1010,2033
1011,2037
1012,2039
1013,2040
1014,2041
1015,2049
1016,2054
1017,2055
1018,2057
1019,2059
1020,2061
1021,2070
1022,2072
1023,2074
1024,2075
1025,2076
1026,2077
1027,2078
1028,2079
1029,2081
1030,2083
1031,2084
1032,2086
1033,2106
1034,2108
1035,2116
1036,2117
1037,2118
1038,2120
1039,2121
1040,2123
1041,2124
1042,2126
1043,2130
1044,2131
1045,2132
1046,2133
1047,2134
1048,2139
1049,2140
1050,2141
1051,2142
1052,2143
1053,2144
1054,2147
1055,2148
1056,2149
1057,2150
1058,2151
1059,2157
1060,2161
1061,2162
1062,2167
1063,2169
1064,2170
1065,2171
1066,2172
1067,2173
1068,2174
1069,2175
1070,2176
1071,2177
1072,2178
1073,2180
1074,2181
1075,2182
1076,2183
1077,2184
1078,2185
1079,2186
1080,2187
1081,2189
1082,2194
1083,2196
1084,2197
1085,2198
1086,2199
1087,2201
1088,2202
1089,2203
1090,2204
1091,2209
1092,2211
1093,2214
1094,2215
1095,2218
1096,2220
1097,2222
1098,2223
1099,2224
1100,2225
1101,2226
1102,2227
1103,2228
1104,2229
1105,2230
1106,2231
1107,2232
1108,2234
1109,2235
1110,2236
1111,2242
1112,2244
1113,2247
1114,2250
1115,2251
1116,2254
1117,2255
1118,2256
1119,2257
1120,2258
1121,2259
1122,2262
1123,2270
1124,2271
1125,2272
1126,2273
1127,2278
1128,2279
1129,2280
1130,2281
1131,2282
1132,2283
1133,2285
1134,2286
1135,2287
1136,2288
1137,2292
1138,2294
1139,2295
1140,2298
1141,2299
1142,2303
1143,2306
1144,2309
1145,2311
1146,2312
1147,2313
1148,2314
1149,2316
1150,2318
1151,2320
1152,2322
1153,2323
1154,2326
1155,2332
1156,2335
1157,2350
1158,2353
1159,2354
1160,2357
1161,2358
1162,2359
1163,2361
1164,2363
1165,2364
1166,2365
1167,2366
1168,2370
1169,2374
1170,2376
1171,2379
1172,2380
1173,2381
1174,2382
1175,2385
1176,2386
1177,2387
1178,2389
1179,2392
1180,2395
1181,2399
1182,2400
1183,2403
1184,2404
1185,2405
1186,2406
1187,2407
1188,2410
1189,2411
1190,2412
1191,2415
1192,2416
1193,2417
1194,2418
1195,2419
1196,2421
1197,2422
1198,2423
1199,2424
1200,2426
1201,2427
1202,2428
1203,2429
1204,2430
1205,2431
1206,2432
1207,2433
1208,2434
1209,2435
1210,2436
1211,2437
1212,2438
1213,2439
1214,2441
1215,2442
1216,2443
1217,2444
1218,2445
1219,2447
1220,2448
1221,2449
1222,2450
1223,2453
1224,2455
1225,2457
1226,2458
1227,2460
1228,2461
1229,2465
1230,2468
1231,2469
1232,2470
1233,2471
1234,2473
1235,2474
1236,2475
1237,2476
1238,2477
1239,2484
1240,2486
1241,2487
1242,2489
1243,2494
1244,2495
1245,2497
1246,2499
1247,2500
1248,2502
1249,2503
1250,2504
1251,2507
1252,2512
1253,2518
1254,2528
1255,2535
1256,2536
1257,2537
1258,2540
1259,2542
1260,2543
1261,2544
1262,2545
1263,2548
1264,2550
1265,2551
1266,2552
1267,2554
1268,2556
1269,2559
1270,2560
1271,2561
1272,2563
1273,2564
1274,2565
1275,2566
1276,2567
1277,2568
1278,2569
1279,2575
1280,2577
1281,2580
1282,2581
1283,2582
1284,2587
1285,2593
1286,2594
1287,2597
1288,2598
1289,2599
1290,2602
1291,2603
1292,2604
1293,2606
1294,2611
1295,2612
1296,2613
1297,2614
1298,2616
1299,2617
1300,2620
1301,2622
1302,2624
1303,2626
1304,2627
1305,2628
1306,2629
1307,2631
1308,2632
1309,2633
1310,2635
1311,2636
1312,2638
1313,2640
1314,2643
